Cantidad de gimnasios,Cantidad de paradas,Capacidad de la mochila,Numero de repeticion,Tiempo,Cantidad de instancias visitadas,Cantidad de instancias calculadas,Tamano del camino,Version de podas,Cantidad de podas 1,Cantidad de podas 2
4.0,4.0,1.0,0,3040.0,564.0,280.0,8.0,4.0,144.0,0.0
4.0,4.0,1.0,1,4040.0,564.0,280.0,8.0,4.0,144.0,0.0
4.0,4.0,1.0,2,4105.0,564.0,280.0,8.0,4.0,144.0,0.0
4.0,4.0,1.0,3,3979.0,564.0,280.0,8.0,4.0,144.0,0.0
4.0,4.0,1.0,4,4369.0,564.0,280.0,8.0,4.0,144.0,0.0
4.0,4.0,1.0,5,4003.0,564.0,280.0,8.0,4.0,144.0,0.0
4.0,4.0,1.0,6,3942.0,564.0,280.0,8.0,4.0,144.0,0.0
4.0,4.0,1.0,7,4356.0,564.0,280.0,8.0,4.0,144.0,0.0
4.0,4.0,1.0,0,4137.0,564.0,280.0,8.0,4.0,144.0,0.0
4.0,4.0,1.0,1,3051.0,564.0,280.0,8.0,4.0,144.0,0.0
4.0,4.0,1.0,2,3382.0,564.0,280.0,8.0,4.0,144.0,0.0
4.0,4.0,1.0,3,3046.0,564.0,280.0,8.0,4.0,144.0,0.0
4.0,4.0,1.0,4,4056.0,564.0,280.0,8.0,4.0,144.0,0.0
4.0,4.0,1.0,5,3797.0,564.0,280.0,8.0,4.0,144.0,0.0
4.0,4.0,1.0,6,3938.0,564.0,280.0,8.0,4.0,144.0,0.0
4.0,4.0,1.0,7,4106.0,564.0,280.0,8.0,4.0,144.0,0.0
4.0,4.0,1.0,0,4336.0,564.0,280.0,8.0,4.0,144.0,0.0
4.0,4.0,1.0,1,4939.0,564.0,280.0,8.0,4.0,144.0,0.0
4.0,4.0,1.0,2,4192.0,564.0,280.0,8.0,4.0,144.0,0.0
4.0,4.0,1.0,3,3242.0,564.0,280.0,8.0,4.0,144.0,0.0
4.0,4.0,1.0,4,3950.0,564.0,280.0,8.0,4.0,144.0,0.0
4.0,4.0,1.0,5,3040.0,564.0,280.0,8.0,4.0,144.0,0.0
4.0,4.0,1.0,6,5403.0,564.0,280.0,8.0,4.0,144.0,0.0
4.0,4.0,1.0,7,5157.0,564.0,280.0,8.0,4.0,144.0,0.0
4.0,4.0,1.0,0,3237.0,564.0,280.0,8.0,4.0,144.0,0.0
4.0,4.0,1.0,1,3181.0,564.0,280.0,8.0,4.0,144.0,0.0
4.0,4.0,1.0,2,3026.0,564.0,280.0,8.0,4.0,144.0,0.0
4.0,4.0,1.0,3,11159.0,564.0,280.0,8.0,4.0,144.0,0.0
4.0,4.0,1.0,4,3029.0,564.0,280.0,8.0,4.0,144.0,0.0
4.0,4.0,1.0,5,4136.0,564.0,280.0,8.0,4.0,144.0,0.0
4.0,4.0,1.0,6,7262.0,564.0,280.0,8.0,4.0,144.0,0.0
4.0,4.0,1.0,7,4213.0,564.0,280.0,8.0,4.0,144.0,0.0
4.0,4.0,1.0,0,4865.0,564.0,280.0,8.0,4.0,144.0,0.0
4.0,4.0,1.0,1,5352.0,564.0,280.0,8.0,4.0,144.0,0.0
4.0,4.0,1.0,2,3974.0,564.0,280.0,8.0,4.0,144.0,0.0
4.0,4.0,1.0,3,4004.0,564.0,280.0,8.0,4.0,144.0,0.0
4.0,4.0,1.0,4,5018.0,564.0,280.0,8.0,4.0,144.0,0.0
4.0,4.0,1.0,5,4198.0,564.0,280.0,8.0,4.0,144.0,0.0
4.0,4.0,1.0,6,3027.0,564.0,280.0,8.0,4.0,144.0,0.0
4.0,4.0,1.0,7,3865.0,564.0,280.0,8.0,4.0,144.0,0.0
4.0,4.0,1.0,0,3824.0,564.0,280.0,8.0,4.0,144.0,0.0
4.0,4.0,1.0,1,4086.0,564.0,280.0,8.0,4.0,144.0,0.0
4.0,4.0,1.0,2,3758.0,564.0,280.0,8.0,4.0,144.0,0.0
4.0,4.0,1.0,3,3023.0,564.0,280.0,8.0,4.0,144.0,0.0
4.0,4.0,1.0,4,3116.0,564.0,280.0,8.0,4.0,144.0,0.0
4.0,4.0,1.0,5,4317.0,564.0,280.0,8.0,4.0,144.0,0.0
4.0,4.0,1.0,6,5567.0,564.0,280.0,8.0,4.0,144.0,0.0
4.0,4.0,1.0,7,5141.0,564.0,280.0,8.0,4.0,144.0,0.0
4.0,4.0,1.0,0,4161.0,564.0,280.0,8.0,4.0,144.0,0.0
4.0,4.0,1.0,1,3157.0,564.0,280.0,8.0,4.0,144.0,0.0
4.0,4.0,1.0,2,4009.0,564.0,280.0,8.0,4.0,144.0,0.0
4.0,4.0,1.0,3,11126.0,564.0,280.0,8.0,4.0,144.0,0.0
4.0,4.0,1.0,4,3045.0,564.0,280.0,8.0,4.0,144.0,0.0
4.0,4.0,1.0,5,5509.0,564.0,280.0,8.0,4.0,144.0,0.0
4.0,4.0,1.0,6,5328.0,564.0,280.0,8.0,4.0,144.0,0.0
4.0,4.0,1.0,7,6039.0,564.0,280.0,8.0,4.0,144.0,0.0
4.0,4.0,1.0,0,3357.0,564.0,280.0,8.0,4.0,144.0,0.0
4.0,4.0,1.0,1,3088.0,564.0,280.0,8.0,4.0,144.0,0.0
4.0,4.0,1.0,2,3931.0,564.0,280.0,8.0,4.0,144.0,0.0
4.0,4.0,1.0,3,5127.0,564.0,280.0,8.0,4.0,144.0,0.0
4.0,4.0,1.0,4,3766.0,564.0,280.0,8.0,4.0,144.0,0.0
4.0,4.0,1.0,5,3973.0,564.0,280.0,8.0,4.0,144.0,0.0
4.0,4.0,1.0,6,5094.0,564.0,280.0,8.0,4.0,144.0,0.0
4.0,4.0,1.0,7,4289.0,564.0,280.0,8.0,4.0,144.0,0.0
4.0,4.0,2.0,0,6783.0,1023.0,506.0,7.0,4.0,256.0,33.0
4.0,4.0,2.0,1,6447.0,1023.0,506.0,7.0,4.0,256.0,33.0
4.0,4.0,2.0,2,6941.0,1023.0,506.0,7.0,4.0,256.0,33.0
4.0,4.0,2.0,3,7542.0,1023.0,506.0,7.0,4.0,256.0,33.0
4.0,4.0,2.0,4,5166.0,1023.0,506.0,7.0,4.0,256.0,33.0
4.0,4.0,2.0,5,5339.0,1023.0,506.0,7.0,4.0,256.0,33.0
4.0,4.0,2.0,6,7782.0,1023.0,506.0,7.0,4.0,256.0,33.0
4.0,4.0,2.0,7,5020.0,1023.0,506.0,7.0,4.0,256.0,33.0
4.0,4.0,2.0,0,9983.0,979.0,501.0,7.0,4.0,251.0,70.0
4.0,4.0,2.0,1,6812.0,979.0,501.0,7.0,4.0,251.0,70.0
4.0,4.0,2.0,2,8519.0,979.0,501.0,7.0,4.0,251.0,70.0
4.0,4.0,2.0,3,5250.0,979.0,501.0,7.0,4.0,251.0,70.0
4.0,4.0,2.0,4,6277.0,979.0,501.0,7.0,4.0,251.0,70.0
4.0,4.0,2.0,5,8525.0,979.0,501.0,7.0,4.0,251.0,70.0
4.0,4.0,2.0,6,5648.0,979.0,501.0,7.0,4.0,251.0,70.0
4.0,4.0,2.0,7,6567.0,979.0,501.0,7.0,4.0,251.0,70.0
4.0,4.0,2.0,0,6665.0,729.0,376.0,7.0,4.0,196.0,19.0
4.0,4.0,2.0,1,3950.0,729.0,376.0,7.0,4.0,196.0,19.0
4.0,4.0,2.0,2,5072.0,729.0,376.0,7.0,4.0,196.0,19.0
4.0,4.0,2.0,3,5309.0,729.0,376.0,7.0,4.0,196.0,19.0
4.0,4.0,2.0,4,5403.0,729.0,376.0,7.0,4.0,196.0,19.0
4.0,4.0,2.0,5,4383.0,729.0,376.0,7.0,4.0,196.0,19.0
4.0,4.0,2.0,6,4092.0,729.0,376.0,7.0,4.0,196.0,19.0
4.0,4.0,2.0,7,5950.0,729.0,376.0,7.0,4.0,196.0,19.0
4.0,4.0,2.0,0,6065.0,740.0,376.0,7.0,4.0,196.0,8.0
4.0,4.0,2.0,1,5678.0,740.0,376.0,7.0,4.0,196.0,8.0
4.0,4.0,2.0,2,4719.0,740.0,376.0,7.0,4.0,196.0,8.0
4.0,4.0,2.0,3,6749.0,740.0,376.0,7.0,4.0,196.0,8.0
4.0,4.0,2.0,4,12629.0,740.0,376.0,7.0,4.0,196.0,8.0
4.0,4.0,2.0,5,4410.0,740.0,376.0,7.0,4.0,196.0,8.0
4.0,4.0,2.0,6,4222.0,740.0,376.0,7.0,4.0,196.0,8.0
4.0,4.0,2.0,7,5415.0,740.0,376.0,7.0,4.0,196.0,8.0
4.0,4.0,2.0,0,3302.0,564.0,280.0,8.0,4.0,144.0,0.0
4.0,4.0,2.0,1,4440.0,564.0,280.0,8.0,4.0,144.0,0.0
4.0,4.0,2.0,2,3826.0,564.0,280.0,8.0,4.0,144.0,0.0
4.0,4.0,2.0,3,3360.0,564.0,280.0,8.0,4.0,144.0,0.0
4.0,4.0,2.0,4,10475.0,564.0,280.0,8.0,4.0,144.0,0.0
4.0,4.0,2.0,5,3341.0,564.0,280.0,8.0,4.0,144.0,0.0
4.0,4.0,2.0,6,3296.0,564.0,280.0,8.0,4.0,144.0,0.0
4.0,4.0,2.0,7,3604.0,564.0,280.0,8.0,4.0,144.0,0.0
4.0,4.0,2.0,0,4523.0,564.0,280.0,8.0,4.0,144.0,0.0
4.0,4.0,2.0,1,11538.0,564.0,280.0,8.0,4.0,144.0,0.0
4.0,4.0,2.0,2,3378.0,564.0,280.0,8.0,4.0,144.0,0.0
4.0,4.0,2.0,3,3673.0,564.0,280.0,8.0,4.0,144.0,0.0
4.0,4.0,2.0,4,3297.0,564.0,280.0,8.0,4.0,144.0,0.0
