Cantidad de gimnasios,Cantidad de paradas,Capacidad de la mochila,Numero de repeticion,Tiempo,Cantidad de instancias visitadas,Cantidad de instancias calculadas,Tamano del camino,Version de podas,Cantidad de podas 1,Cantidad de podas 2,Mejor caso
2, 2, 6, 0, 170.000000, 21, 16, 4, 4, 4, 1, 1
2, 2, 6, 1, 165.000000, 21, 16, 4, 4, 4, 1, 1
2, 2, 6, 2, 168.000000, 21, 16, 4, 4, 4, 1, 1
2, 2, 6, 3, 165.000000, 21, 16, 4, 4, 4, 1, 1
2, 2, 6, 4, 164.000000, 21, 16, 4, 4, 4, 1, 1
2, 2, 6, 0, 283.000000, 21, 16, 4, 4, 4, 1, 1
2, 2, 6, 1, 171.000000, 21, 16, 4, 4, 4, 1, 1
2, 2, 6, 2, 171.000000, 21, 16, 4, 4, 4, 1, 1
2, 2, 6, 3, 172.000000, 21, 16, 4, 4, 4, 1, 1
2, 2, 6, 4, 171.000000, 21, 16, 4, 4, 4, 1, 1
2, 2, 6, 0, 174.000000, 21, 16, 4, 4, 4, 1, 1
2, 2, 6, 1, 226.000000, 21, 16, 4, 4, 4, 1, 1
2, 2, 6, 2, 236.000000, 21, 16, 4, 4, 4, 1, 1
2, 2, 6, 3, 236.000000, 21, 16, 4, 4, 4, 1, 1
2, 2, 6, 4, 247.000000, 21, 16, 4, 4, 4, 1, 1
2, 2, 6, 0, 192.000000, 21, 16, 4, 4, 4, 1, 1
2, 2, 6, 1, 192.000000, 21, 16, 4, 4, 4, 1, 1
2, 2, 6, 2, 223.000000, 21, 16, 4, 4, 4, 1, 1
2, 2, 6, 3, 172.000000, 21, 16, 4, 4, 4, 1, 1
2, 2, 6, 4, 218.000000, 21, 16, 4, 4, 4, 1, 1
2, 2, 6, 0, 180.000000, 21, 16, 4, 4, 4, 1, 1
2, 2, 6, 1, 172.000000, 21, 16, 4, 4, 4, 1, 1
2, 2, 6, 2, 167.000000, 21, 16, 4, 4, 4, 1, 1
2, 2, 6, 3, 170.000000, 21, 16, 4, 4, 4, 1, 1
