Cantidad de gimnasios,Cantidad de paradas,Capacidad de la mochila,Numero de repeticion,Tiempo,Cantidad de instancias visitadas,Cantidad de instancias calculadas,Tamano del camino,Version de podas,Cantidad de podas 1,Cantidad de podas 2,Pociones Gimnasio
3, 1, 6, 0, 153.000000, 16, 13, 4, 4, 3, 0, 0
3, 1, 6, 1, 216.000000, 16, 13, 4, 4, 3, 0, 0
3, 1, 6, 2, 165.000000, 16, 13, 4, 4, 3, 0, 0
3, 1, 6, 3, 171.000000, 16, 13, 4, 4, 3, 0, 0
3, 1, 6, 4, 170.000000, 16, 13, 4, 4, 3, 0, 0
2, 2, 6, 0, 229.000000, 24, 19, 3, 4, 8, 1, 1
2, 2, 6, 1, 230.000000, 24, 19, 3, 4, 8, 1, 1
2, 2, 6, 2, 227.000000, 24, 19, 3, 4, 8, 1, 1
2, 2, 6, 3, 232.000000, 24, 19, 3, 4, 8, 1, 1
2, 2, 6, 4, 276.000000, 24, 19, 3, 4, 8, 1, 1
2, 2, 6, 0, 183.000000, 22, 16, 4, 4, 4, 0, 2
2, 2, 6, 1, 175.000000, 22, 16, 4, 4, 4, 0, 2
2, 2, 6, 2, 174.000000, 22, 16, 4, 4, 4, 0, 2
2, 2, 6, 3, 196.000000, 22, 16, 4, 4, 4, 0, 2
2, 2, 6, 4, 176.000000, 22, 16, 4, 4, 4, 0, 2
2, 2, 6, 0, 178.000000, 22, 16, 4, 4, 4, 0, 3
2, 2, 6, 1, 186.000000, 22, 16, 4, 4, 4, 0, 3
2, 2, 6, 2, 201.000000, 22, 16, 4, 4, 4, 0, 3
2, 2, 6, 3, 455.000000, 22, 16, 4, 4, 4, 0, 3
2, 2, 6, 4, 251.000000, 22, 16, 4, 4, 4, 0, 3
3, 1, 6, 0, 193.000000, 10, 9, 4, 4, 2, 3, 0
3, 1, 6, 1, 196.000000, 10, 9, 4, 4, 2, 3, 0
3, 1, 6, 2, 290.000000, 10, 9, 4, 4, 2, 3, 0
3, 1, 6, 3, 267.000000, 10, 9, 4, 4, 2, 3, 0
3, 1, 6, 4, 206.000000, 10, 9, 4, 4, 2, 3, 0
2, 2, 6, 0, 158.000000, 4, 4, 3, 4, 2, 8, 1
2, 2, 6, 1, 155.000000, 4, 4, 3, 4, 2, 8, 1
2, 2, 6, 2, 163.000000, 4, 4, 3, 4, 2, 8, 1
2, 2, 6, 3, 194.000000, 4, 4, 3, 4, 2, 8, 1
2, 2, 6, 4, 256.000000, 4, 4, 3, 4, 2, 8, 1
2, 2, 6, 0, 268.000000, 19, 15, 4, 4, 4, 2, 2
2, 2, 6, 1, 200.000000, 19, 15, 4, 4, 4, 2, 2
2, 2, 6, 2, 171.000000, 19, 15, 4, 4, 4, 2, 2
2, 2, 6, 3, 170.000000, 19, 15, 4, 4, 4, 2, 2
2, 2, 6, 4, 208.000000, 19, 15, 4, 4, 4, 2, 2
2, 2, 6, 0, 208.000000, 19, 15, 4, 4, 4, 2, 3
2, 2, 6, 1, 205.000000, 19, 15, 4, 4, 4, 2, 3
2, 2, 6, 2, 209.000000, 19, 15, 4, 4, 4, 2, 3
2, 2, 6, 3, 210.000000, 19, 15, 4, 4, 4, 2, 3
2, 2, 6, 4, 222.000000, 19, 15, 4, 4, 4, 2, 3
5, 1, 6, 0, 1393.000000, 164, 81, 6, 4, 5, 2, 0
5, 1, 6, 1, 1845.000000, 164, 81, 6, 4, 5, 2, 0
5, 1, 6, 2, 1166.000000, 164, 81, 6, 4, 5, 2, 0
5, 1, 6, 3, 1401.000000, 164, 81, 6, 4, 5, 2, 0
5, 1, 6, 4, 1069.000000, 164, 81, 6, 4, 5, 2, 0
3, 3, 6, 0, 2881.000000, 258, 141, 4, 4, 46, 44, 1
3, 3, 6, 1, 3442.000000, 258, 141, 4, 4, 46, 44, 1
3, 3, 6, 2, 2712.000000, 258, 141, 4, 4, 46, 44, 1
3, 3, 6, 3, 2570.000000, 258, 141, 4, 4, 46, 44, 1
3, 3, 6, 4, 2149.000000, 258, 141, 4, 4, 46, 44, 1
3, 3, 6, 0, 6405.000000, 182, 100, 5, 4, 30, 20, 2
3, 3, 6, 1, 1441.000000, 182, 100, 5, 4, 30, 20, 2
