Codigo de caso,Cantidad de gimnasios,Cantidad de paradas,Capacidad de la mochila,Tiempo,Distancia del camino,Cantidad de cambios
1, 1, 100, 20, 18, 39.2324, 2
1, 1, 100, 20, 20, 39.2324, 2
1, 1, 100, 20, 7, 39.2324, 2
1, 1, 100, 20, 6, 39.2324, 2
1, 1, 100, 20, 6, 39.2324, 2
1, 1, 100, 20, 7, 39.2324, 2
1, 1, 100, 20, 12, 39.2324, 2
1, 1, 100, 20, 9, 39.2324, 2
1, 1, 100, 20, 8, 39.2324, 2
1, 1, 100, 20, 7, 39.2324, 2
1, 1, 100, 20, 7, 39.2324, 2
1, 1, 100, 20, 10, 39.2324, 2
1, 1, 100, 20, 9, 39.2324, 2
1, 1, 100, 20, 7, 39.2324, 2
1, 1, 100, 20, 9, 39.2324, 2
1, 1, 100, 20, 8, 39.2324, 2
1, 1, 100, 20, 8, 39.2324, 2
1, 1, 100, 20, 7, 39.2324, 2
1, 1, 100, 20, 21, 39.2324, 2
1, 1, 100, 20, 19, 39.2324, 2
1, 1, 100, 20, 8, 39.2324, 2
1, 1, 100, 20, 8, 39.2324, 2
1, 1, 100, 20, 21, 39.2324, 2
1, 1, 100, 20, 6, 39.2324, 2
1, 1, 100, 20, 19, 39.2324, 2
1, 1, 100, 20, 6, 39.2324, 2
1, 1, 100, 20, 7, 39.2324, 2
1, 1, 100, 20, 12, 39.2324, 2
1, 1, 100, 20, 8, 39.2324, 2
1, 1, 100, 20, 7, 39.2324, 2
1, 1, 100, 20, 7, 39.2324, 2
1, 1, 100, 20, 7, 39.2324, 2
1, 1, 100, 20, 15, 39.2324, 2
1, 1, 100, 20, 8, 39.2324, 2
1, 1, 100, 20, 10, 39.2324, 2
1, 1, 100, 20, 8, 39.2324, 2
1, 1, 100, 20, 9, 39.2324, 2
1, 1, 100, 20, 9, 39.2324, 2
1, 1, 100, 20, 7, 39.2324, 2
1, 1, 100, 20, 6, 39.2324, 2
1, 1, 100, 20, 12, 39.2324, 2
1, 1, 100, 20, 10, 39.2324, 2
1, 1, 100, 20, 6, 39.2324, 2
1, 1, 100, 20, 12, 39.2324, 2
1, 1, 100, 20, 8, 39.2324, 2
1, 1, 100, 20, 9, 39.2324, 2
1, 1, 100, 20, 16, 39.2324, 2
1, 1, 100, 20, 11, 39.2324, 2
1, 1, 100, 20, 7, 39.2324, 2
1, 1, 100, 20, 7, 39.2324, 2
1, 1, 100, 20, 8, 39.2324, 2
1, 1, 100, 20, 13, 39.2324, 2
1, 1, 100, 20, 13, 39.2324, 2
1, 1, 100, 20, 7, 39.2324, 2
1, 1, 100, 20, 7, 39.2324, 2
1, 1, 100, 20, 22, 39.2324, 2
1, 1, 100, 20, 11, 39.2324, 2
1, 1, 100, 20, 9, 39.2324, 2
1, 1, 100, 20, 12, 39.2324, 2
