Cantidad de cambios,Distancia del camino,Mejora,Tamano de vecindad,Codigo de vecindad
0, 789.497866, 0, 0, 1111
1, 717.181398, 72.316467, 121, 1111
2, 675.350500, 41.830898, 121, 1111
3, 640.100629, 35.249871, 121, 1111
4, 613.481510, 26.619119, 121, 1111
5, 597.281889, 16.199622, 121, 1111
6, 587.364010, 9.917879, 121, 1111
7, 580.019279, 7.344731, 121, 1111
8, 574.036172, 5.983107, 121, 1111
9, 568.105688, 5.930484, 121, 1111
10, 563.157322, 4.948367, 121, 1111
11, 558.234584, 4.922737, 121, 1111
12, 554.506312, 3.728272, 121, 1111
13, 539.628695, 14.877617, 122, 1111
14, 536.128678, 3.500017, 122, 1111
15, 526.459989, 9.668689, 123, 1111
16, 515.872838, 10.587151, 123, 1111
17, 513.734659, 2.138178, 123, 1111
18, 511.186349, 2.548310, 123, 1111
19, 509.256609, 1.929740, 123, 1111
20, 503.988623, 5.267986, 123, 1111
21, 498.521968, 5.466655, 123, 1111
22, 496.764901, 1.757067, 123, 1111
23, 495.035736, 1.729165, 123, 1111
24, 488.057389, 6.978348, 123, 1111
25, 482.954569, 5.102820, 123, 1111
26, 478.965524, 3.989045, 124, 1111
27, 475.232190, 3.733334, 124, 1111
28, 472.441195, 2.790995, 124, 1111
29, 471.015177, 1.426018, 124, 1111
30, 464.665304, 6.349873, 126, 1111
31, 463.345451, 1.319853, 126, 1111
32, 462.646565, 0.698886, 126, 1111
33, 462.590431, 0.056134, 126, 1111
34, 462.590177, 0.000253, 126, 1111
