Codigo de caso,Cantidad de gimnasios,Cantidad de paradas,Capacidad de la mochila,Tiempo,Distancia del camino,Cantidad de cambios,Codigo de vecindad
1_100_20_0, 1, 100, 20, 29.000000, 155.477480, 1, '0001'
1_100_20_0, 1, 100, 20, 31.000000, 155.477480, 1, '0001'
1_100_20_0, 1, 100, 20, 29.000000, 155.477480, 1, '0001'
1_100_20_0, 1, 100, 20, 28.000000, 155.477480, 1, '0001'
1_100_20_0, 1, 100, 20, 29.000000, 155.477480, 1, '0001'
1_100_20_0, 1, 100, 20, 31.000000, 155.477480, 1, '0001'
1_100_20_0, 1, 100, 20, 29.000000, 155.477480, 1, '0001'
1_100_20_0, 1, 100, 20, 30.000000, 155.477480, 1, '0001'
1_100_20_0, 1, 100, 20, 29.000000, 155.477480, 1, '0001'
1_100_20_0, 1, 100, 20, 29.000000, 155.477480, 1, '0001'
1_100_20_0, 1, 100, 20, 31.000000, 155.477480, 1, '0001'
1_100_20_0, 1, 100, 20, 25.000000, 155.477480, 1, '0001'
1_100_20_0, 1, 100, 20, 30.000000, 155.477480, 1, '0001'
1_100_20_0, 1, 100, 20, 21.000000, 155.477480, 1, '0001'
1_100_20_0, 1, 100, 20, 22.000000, 155.477480, 1, '0001'
1_100_20_0, 1, 100, 20, 35.000000, 155.477480, 1, '0001'
1_100_20_0, 1, 100, 20, 31.000000, 155.477480, 1, '0001'
1_100_20_0, 1, 100, 20, 29.000000, 155.477480, 1, '0001'
1_100_20_0, 1, 100, 20, 20.000000, 155.477480, 1, '0001'
1_100_20_0, 1, 100, 20, 36.000000, 155.477480, 1, '0001'
1_100_20_0, 1, 100, 20, 122.000000, 150.824806, 2, '0011'
1_100_20_0, 1, 100, 20, 163.000000, 150.824806, 2, '0011'
1_100_20_0, 1, 100, 20, 179.000000, 150.824806, 2, '0011'
1_100_20_0, 1, 100, 20, 175.000000, 150.824806, 2, '0011'
1_100_20_0, 1, 100, 20, 124.000000, 150.824806, 2, '0011'
1_100_20_0, 1, 100, 20, 159.000000, 150.824806, 2, '0011'
1_100_20_0, 1, 100, 20, 120.000000, 150.824806, 2, '0011'
1_100_20_0, 1, 100, 20, 119.000000, 150.824806, 2, '0011'
1_100_20_0, 1, 100, 20, 168.000000, 150.824806, 2, '0011'
1_100_20_0, 1, 100, 20, 121.000000, 150.824806, 2, '0011'
1_100_20_0, 1, 100, 20, 158.000000, 150.824806, 2, '0011'
1_100_20_0, 1, 100, 20, 166.000000, 150.824806, 2, '0011'
1_100_20_0, 1, 100, 20, 159.000000, 150.824806, 2, '0011'
1_100_20_0, 1, 100, 20, 163.000000, 150.824806, 2, '0011'
