Cantidad de gimnasios, Cantidad de pokeparadas, Capacidad mochila, Diferencia
6, 5, 2, 42.765576
6, 5, 2, 1.946098
6, 5, 2, 4.431448
6, 5, 2, 4.701991
6, 5, 3, 3.298355
6, 5, 3, 0.0
6, 5, 3, 4.642237
6, 5, 3, 4.676997
6, 5, 4, 2.996048
6, 5, 4, 3.240846
6, 5, 4, 0.0
6, 5, 4, 1.779614
6, 5, 5, 4.227211
6, 5, 5, 0.508183
6, 5, 5, 2.060332
6, 5, 5, 0.453732
6, 5, 6, 4.89004
6, 5, 6, 0.0
6, 5, 6, 7.977319
6, 5, 6, 1.60288
6, 5, 7, 8.211354
6, 5, 7, 4.284039
6, 5, 7, 19.733701
6, 5, 7, 9.21903
6, 5, 8, 9.385316
6, 5, 8, 6.639578
6, 5, 8, 5.374433
6, 5, 8, 5.516087
6, 5, 9, 8.783609
6, 5, 9, 8.36729
6, 5, 9, 1.099019
6, 5, 9, 1.309858
6, 5, 10, 9.767829
6, 5, 10, 10.105314
6, 5, 10, 5.243796
6, 5, 10, 2.196802
6, 5, 11, 13.423916
6, 5, 11, 10.605554
6, 5, 11, 4.667701
6, 5, 11, 5.56269
6, 5, 12, 2.592359
6, 5, 12, 2.810665
6, 5, 12, 9.159776
6, 5, 12, 2.722839
6, 5, 13, 2.708892
6, 5, 13, 9.832976
6, 5, 13, 12.103058
6, 5, 13, 10.487874
6, 5, 14, 6.695171
6, 5, 14, 13.038929
6, 5, 14, 9.188618
6, 5, 14, 9.691506
6, 5, 15, 7.862159
6, 5, 15, 6.805986
6, 5, 15, 9.496493
6, 5, 15, 10.827145
6, 5, 16, 6.609187
6, 5, 16, 7.406733
6, 5, 16, 6.596188
6, 5, 16, 2.570442
6, 5, 17, 0.0
6, 5, 17, 6.206244
6, 5, 17, 2.16542
6, 5, 17, 8.990705
6, 5, 18, 6.013146
6, 5, 18, 2.0
6, 5, 18, 1.742605
6, 5, 18, 7.949363
6, 5, 19, 9.582861
6, 5, 19, 5.000047
6, 5, 19, 3.886615
6, 5, 19, 5.779959
6, 5, 20, 14.626557
6, 5, 20, 7.826362
6, 5, 20, 11.755368
6, 5, 20, 4.919637
6, 5, 21, 11.186337
6, 5, 21, 7.371337
6, 5, 21, 6.753151
6, 5, 21, 17.959965
6, 5, 22, 15.373826
6, 5, 22, 12.419188
6, 5, 22, 7.454011
6, 5, 22, 3.414178
6, 5, 23, 9.490886
6, 5, 23, 5.552436
6, 5, 23, 8.332975
6, 5, 23, 3.210021
6, 5, 24, 7.841274
6, 5, 24, 1.275928
6, 5, 24, 13.805637
6, 5, 24, 0.594884
6, 5, 25, 9.823676
6, 5, 25, 3.622346
6, 5, 25, 0.610215
6, 5, 25, 10.198733
6, 5, 26, 7.678771
6, 5, 26, 1.974312
6, 5, 26, 0.251936
6, 5, 26, 9.185494
6, 5, 27, 5.370374
6, 5, 27, 12.276884
6, 5, 27, 2.853392
6, 5, 27, 15.473385
6, 5, 28, 8.389373
6, 5, 28, 7.325529
6, 5, 28, 3.162278
6, 5, 28, 10.047519
6, 5, 29, 5.079476
6, 5, 29, 5.077687
6, 5, 29, 5.750758
6, 5, 29, 6.997127
6, 5, 30, 13.151918
6, 5, 30, 1.682064
6, 5, 30, 6.274226
6, 5, 30, 9.50052
6, 5, 31, 16.030663
6, 5, 31, 0.550279
6, 5, 31, 10.312006
6, 5, 31, 2.82336
6, 5, 32, 5.789161
6, 5, 32, 2.294069
6, 5, 32, 6.612113
6, 5, 32, 9.758319
6, 5, 33, 9.393698
6, 5, 33, 14.670119
6, 5, 33, 9.200104
6, 5, 33, 10.621978
6, 5, 34, 4.905757
6, 5, 34, 10.309535
6, 5, 34, 9.906329
6, 5, 34, 2.798551
6, 5, 35, 0.918085
6, 5, 35, 11.69108
6, 5, 35, 10.046318
6, 5, 35, 12.189152
6, 5, 36, 4.461468
6, 5, 36, 8.222742
6, 5, 36, 1.385165
6, 5, 36, 5.057923
6, 5, 37, 7.556825
6, 5, 37, 0.0
6, 5, 37, 10.392569
6, 5, 37, 1.392461
6, 5, 38, 13.347315
6, 5, 38, 8.599473
6, 5, 38, 1.394448
6, 5, 38, 3.370733
6, 5, 39, 5.012916
6, 5, 39, 0.978668
6, 5, 39, 5.870481
6, 5, 39, 7.553187
6, 5, 40, 12.846312
6, 5, 40, 15.779333
6, 5, 40, 7.845878
6, 5, 40, 1.200633
6, 5, 41, 3.373116
6, 5, 41, 8.243862
6, 5, 41, 20.287623
6, 5, 41, 4.301401
6, 5, 42, 7.381098
6, 5, 42, 2.748064
6, 5, 42, 9.375881
6, 5, 42, 6.5081
6, 5, 43, 10.175781
6, 5, 43, 3.153734
6, 5, 43, 0.0
6, 5, 43, 4.576491
6, 5, 44, 4.596393
6, 5, 44, 6.550091
6, 5, 44, 5.657589
6, 5, 44, 0.757359
6, 5, 45, 0.907751
6, 5, 45, 1.348271
6, 5, 45, 7.586623
6, 5, 45, 12.024859
6, 5, 46, 7.822485
6, 5, 46, 1.362899
6, 5, 46, 5.201452
6, 5, 46, 0.993229
6, 5, 47, 8.176975
6, 5, 47, 11.874026
6, 5, 47, 1.085874
6, 5, 47, 2.634713
6, 5, 48, 6.40346
6, 5, 48, 1.826612
6, 5, 48, 8.319154
6, 5, 48, 7.585786
6, 5, 49, 4.326729
6, 5, 49, 4.311212
6, 5, 49, 6.887038
6, 5, 49, 6.915405
6, 5, 50, 8.195919
6, 5, 50, 5.988045
6, 5, 50, 5.572984
6, 5, 50, 9.736609
6, 5, 51, 9.69852
6, 5, 51, 8.650282
6, 5, 51, 13.743763
6, 5, 51, 5.976272
6, 5, 52, 2.29753
6, 5, 52, 6.990716
6, 5, 52, 9.881866
6, 5, 52, 6.565811
6, 5, 53, 3.117547
6, 5, 53, 7.968924
6, 5, 53, 15.017765
6, 5, 53, 5.141225
6, 5, 54, 7.662986
6, 5, 54, 0.0
6, 5, 54, 4.472824
6, 5, 54, 11.8015
6, 5, 55, 3.930988
6, 5, 55, 19.158898
6, 5, 55, 10.024654
6, 5, 55, 9.070648
6, 5, 56, 0.763244
6, 5, 56, 7.205036
6, 5, 56, 1.703334
6, 5, 56, 0.901109
6, 5, 57, 9.726613
6, 5, 57, 7.138483
6, 5, 57, 8.930665
6, 5, 57, 7.241123
6, 5, 58, 6.751826
6, 5, 58, 4.955461
6, 5, 58, 0.414902
6, 5, 58, 11.499871
6, 5, 59, 1.45438
6, 5, 59, 0.178146
6, 5, 59, 4.342406
6, 5, 59, 10.560821
6, 5, 60, 10.649912
6, 5, 60, 8.225508
6, 5, 60, 4.275928
6, 5, 60, 10.577672
6, 5, 61, 1.602133
6, 5, 61, 3.696808
6, 5, 61, 3.980235
6, 5, 61, 6.910342
6, 5, 62, 4.249951
6, 5, 62, 8.678212
6, 5, 62, 1.868383
6, 5, 62, 13.925099
6, 5, 63, 5.901109
6, 5, 63, 5.968264
6, 5, 63, 13.679605
6, 5, 63, 1.619717
6, 5, 64, 6.935855
6, 5, 64, 2.621222
6, 5, 64, 3.215876
6, 5, 64, 7.669101
6, 5, 65, 4.468582
6, 5, 65, 16.676958
6, 5, 65, 8.485461
6, 5, 65, 13.063992
6, 5, 66, 11.213063
6, 5, 66, 8.940734
6, 5, 66, 8.249879
6, 5, 66, 8.779271
6, 5, 67, 10.10836
6, 5, 67, 7.064022
6, 5, 67, 5.485281
6, 5, 67, 10.741346
6, 5, 68, 10.437166
6, 5, 68, 7.302307
6, 5, 68, 8.786177
6, 5, 68, 6.75872
6, 5, 69, 9.123674
6, 5, 69, 6.027905
6, 5, 69, 12.352735
6, 5, 69, 4.708221
6, 5, 70, 6.33222
6, 5, 70, 5.914301
6, 5, 70, 11.580661
6, 5, 70, 4.025323
6, 5, 71, 3.831913
6, 5, 71, 14.523714
6, 5, 71, 5.287697
6, 5, 71, 3.65097
6, 5, 72, 8.310171
6, 5, 72, 4.605551
6, 5, 72, 7.880625
6, 5, 72, 4.013181
6, 5, 73, 3.402429
6, 5, 73, 7.2855
6, 5, 73, 0.0
6, 5, 73, 5.939449
6, 5, 74, 13.563408
6, 5, 74, 3.156942
6, 5, 74, 2.837722
