Cantidad de gimnasios, Tiempo
1, 2438644.000000
1, 1301942.000000
1, 1226609.000000
1, 1529452.000000
2, 5196571.000000
2, 4094521.000000
2, 3727325.000000
2, 3004168.000000
3, 7894849.000000
3, 2113632.000000
3, 4019349.000000
3, 2706563.000000
4, 10057391.000000
4, 5790397.000000
4, 6877609.000000
4, 4680067.000000
5, 10016971.000000
5, 9317091.000000
5, 4453399.000000
5, 10023488.000000
6, 10059004.000000
6, 10113438.000000
6, 10207574.000000
6, 10055545.000000
7, 10195896.000000
7, 10128887.000000
7, 10170936.000000
7, 10079449.000000
8, 10013739.000000
8, 10128782.000000
8, 10103195.000000
8, 10141902.000000
9, 10184251.000000
9, 10242645.000000
9, 10270640.000000
9, 10141483.000000
10, 10428780.000000
10, 10192154.000000
10, 10104264.000000
10, 10477322.000000
11, 10359833.000000
11, 10247048.000000
11, 10562239.000000
11, 10389167.000000
12, 10470507.000000
12, 10362075.000000
12, 10368662.000000
12, 10545990.000000
13, 10401668.000000
13, 10803834.000000
13, 10669095.000000
13, 10747243.000000
14, 11087933.000000
14, 10595976.000000
14, 10457527.000000
14, 10567144.000000
15, 11075346.000000
15, 10534485.000000
15, 10424968.000000
15, 11010319.000000
16, 10663427.000000
16, 10485057.000000
16, 10875494.000000
16, 10688539.000000
17, 10870245.000000
17, 11099589.000000
17, 10749365.000000
17, 10934048.000000
18, 11632439.000000
18, 11068412.000000
18, 11091674.000000
18, 11025394.000000
19, 11138743.000000
19, 11631692.000000
19, 11275800.000000
19, 11616601.000000
20, 11514007.000000
20, 10761721.000000
20, 11833326.000000
20, 11440554.000000
21, 11516307.000000
21, 12911822.000000
21, 11967653.000000
21, 12331512.000000
22, 12142618.000000
22, 11407067.000000
22, 11878107.000000
22, 12493589.000000
23, 12338596.000000
23, 12798215.000000
23, 11455922.000000
23, 12720556.000000
24, 11707213.000000
24, 11747693.000000
24, 13083146.000000
24, 11524680.000000
25, 13469112.000000
25, 14232923.000000
25, 13323507.000000
25, 13083423.000000
26, 13083713.000000
26, 13169747.000000
26, 12600531.000000
26, 13020497.000000
27, 13163431.000000
27, 14058789.000000
27, 12270377.000000
27, 12838471.000000
28, 13181119.000000
28, 13247331.000000
28, 14570869.000000
28, 12501304.000000
29, 13220691.000000
29, 12797021.000000
29, 14371900.000000
29, 12838291.000000
30, 12848757.000000
30, 12834890.000000
30, 13348354.000000
30, 11904055.000000
31, 13574080.000000
31, 13502439.000000
31, 12300324.000000
31, 13425152.000000
32, 13119490.000000
32, 13598742.000000
32, 13011403.000000
32, 13305269.000000
33, 13124651.000000
33, 13255752.000000
33, 13899875.000000
33, 12590392.000000
34, 14555980.000000
34, 13844823.000000
34, 13515001.000000
34, 14212841.000000
35, 13828318.000000
35, 14559023.000000
35, 14338220.000000
35, 13354584.000000
36, 14840014.000000
36, 13376653.000000
36, 13130515.000000
36, 13031549.000000
37, 13380692.000000
37, 13817885.000000
37, 12955906.000000
37, 13764653.000000
38, 13334331.000000
38, 14555096.000000
38, 14761972.000000
38, 14561691.000000
39, 13677885.000000
39, 15196509.000000
39, 13146385.000000
39, 16152208.000000
40, 14142889.000000
40, 14647712.000000
40, 14653304.000000
40, 14519681.000000
41, 15477226.000000
41, 14437579.000000
41, 15151761.000000
41, 14182451.000000
42, 13843693.000000
42, 14708736.000000
42, 14049986.000000
42, 14484383.000000
43, 14685596.000000
43, 15012476.000000
43, 14084656.000000
43, 14395084.000000
44, 14960645.000000
44, 14554308.000000
44, 15487058.000000
44, 14340287.000000
45, 14500835.000000
45, 14892263.000000
45, 15322623.000000
45, 15976720.000000
46, 14393852.000000
46, 15392479.000000
46, 14287450.000000
46, 14747672.000000
47, 15010696.000000
47, 15385560.000000
47, 15163467.000000
47, 13858714.000000
48, 15836792.000000
48, 15979980.000000
48, 14899243.000000
48, 15140649.000000
49, 14264873.000000
49, 14324203.000000
49, 16304997.000000
49, 15197144.000000
50, 15073424.000000
50, 14688711.000000
50, 15488135.000000
50, 16463551.000000
51, 15861558.000000
51, 14898704.000000
51, 14192938.000000
51, 16524194.000000
52, 15029173.000000
52, 14224433.000000
52, 15750072.000000
52, 15931078.000000
53, 16363752.000000
53, 15052396.000000
53, 16967020.000000
53, 16286073.000000
54, 15335564.000000
54, 18150189.000000
54, 17309487.000000
54, 17496385.000000
55, 16179739.000000
55, 14821584.000000
55, 16241595.000000
55, 16109014.000000
56, 16125122.000000
56, 16606844.000000
56, 16799540.000000
56, 16349792.000000
57, 14691321.000000
57, 17047326.000000
57, 16674212.000000
57, 17364168.000000
58, 14912683.000000
58, 15863406.000000
58, 17623845.000000
58, 16241687.000000
59, 15540807.000000
59, 16230989.000000
59, 16390678.000000
59, 15603912.000000
60, 15650404.000000
60, 15933425.000000
60, 16286038.000000
60, 16129934.000000
61, 16274220.000000
61, 16736313.000000
61, 17954866.000000
61, 17026850.000000
62, 18229459.000000
62, 17517706.000000
62, 15522460.000000
62, 17174569.000000
63, 17274711.000000
63, 17408576.000000
63, 17281495.000000
63, 19519679.000000
64, 15948370.000000
64, 16605413.000000
64, 16776139.000000
64, 16103042.000000
65, 17267104.000000
65, 17789923.000000
65, 15884374.000000
65, 17997455.000000
66, 18506215.000000
66, 15208697.000000
66, 18850211.000000
66, 18236757.000000
67, 19122408.000000
67, 18306292.000000
67, 16916374.000000
67, 17492069.000000
68, 19104653.000000
68, 18730742.000000
68, 18783323.000000
68, 17146053.000000
69, 18443155.000000
69, 19048487.000000
69, 18216511.000000
69, 18668277.000000
70, 16857766.000000
70, 18949674.000000
70, 17620996.000000
70, 17450558.000000
71, 20310276.000000
71, 18453367.000000
71, 17435388.000000
71, 18938496.000000
72, 20804386.000000
72, 22208633.000000
72, 17763743.000000
72, 16896997.000000
73, 18667026.000000
73, 18737255.000000
73, 19357064.000000
73, 19651658.000000
74, 17983325.000000
74, 18765604.000000
74, 18966840.000000
74, 19765249.000000
75, 16850495.000000
75, 17099144.000000
75, 21301316.000000
75, 20327757.000000
76, 18177074.000000
76, 18411298.000000
76, 19269207.000000
76, 20227398.000000
77, 19047258.000000
77, 20336919.000000
77, 20379470.000000
77, 17343752.000000
78, 18632345.000000
78, 18900987.000000
78, 18232510.000000
78, 21148157.000000
79, 20808728.000000
79, 19925805.000000
79, 19193162.000000
79, 20797237.000000
80, 19333194.000000
80, 22133489.000000
80, 19567847.000000
80, 20427031.000000
81, 20042274.000000
81, 20672990.000000
81, 23425750.000000
81, 21151300.000000
82, 21739435.000000
82, 18414998.000000
82, 19802809.000000
82, 19821423.000000
83, 23265918.000000
83, 19307955.000000
83, 23434646.000000
83, 18271709.000000
84, 20101187.000000
84, 23015190.000000
84, 23776952.000000
84, 21221374.000000
85, 21636703.000000
85, 24885588.000000
85, 23584535.000000
85, 21901422.000000
86, 19989055.000000
86, 24194333.000000
86, 21448482.000000
86, 21463112.000000
87, 23906068.000000
87, 21843500.000000
87, 19814678.000000
87, 24256381.000000
88, 25579827.000000
88, 23237972.000000
88, 23342549.000000
88, 21559851.000000
89, 19199273.000000
89, 20614028.000000
89, 22473997.000000
89, 26051086.000000
90, 20126302.000000
90, 22675511.000000
90, 23250029.000000
90, 24408324.000000
91, 22602815.000000
91, 20862498.000000
91, 18696108.000000
91, 24738004.000000
92, 20955985.000000
92, 27102464.000000
92, 22962641.000000
92, 19723209.000000
93, 19280762.000000
93, 21781182.000000
93, 22191012.000000
93, 21554556.000000
94, 24844576.000000
94, 22321274.000000
94, 24179551.000000
94, 19034539.000000
95, 27024095.000000
95, 22390576.000000
95, 20728609.000000
95, 20840654.000000
96, 21733174.000000
96, 19364219.000000
96, 22229144.000000
96, 23316243.000000
97, 23273150.000000
97, 21526648.000000
97, 24935647.000000
97, 21234508.000000
98, 21070165.000000
98, 22669482.000000
98, 24663810.000000
98, 25535555.000000
99, 24995984.000000
99, 21717420.000000
99, 24000435.000000
99, 26492536.000000
100, 22398510.000000
100, 21880759.000000
100, 20124053.000000
100, 23397388.000000
101, 25875590.000000
101, 21354969.000000
101, 23324772.000000
101, 21496283.000000
102, 22154122.000000
102, 22478220.000000
102, 23207272.000000
102, 25063158.000000
103, 22283426.000000
103, 23209050.000000
103, 21126472.000000
103, 22826399.000000
104, 20025408.000000
104, 23528480.000000
104, 23914093.000000
104, 24255938.000000
105, 20811340.000000
105, 27137217.000000
105, 22419871.000000
105, 25973800.000000
106, 22124890.000000
106, 21677991.000000
106, 25351709.000000
106, 22815925.000000
107, 23407849.000000
107, 25439548.000000
107, 24119896.000000
107, 25369979.000000
