Cantidad de paradas, Capacidad de mochila, Tiempo
5, 2, 627.000000
5, 2, 621.000000
5, 2, 607.000000
5, 2, 611.000000
5, 2, 621.000000
5, 2, 809.000000
5, 2, 812.000000
5, 2, 834.000000
5, 2, 809.000000
5, 2, 827.000000
5, 2, 1391.000000
5, 2, 1217.000000
5, 2, 1194.000000
5, 2, 1308.000000
5, 2, 1187.000000
5, 2, 1532.000000
5, 2, 1481.000000
5, 2, 1680.000000
5, 2, 1532.000000
5, 2, 1514.000000
5, 3, 2712.000000
5, 3, 2511.000000
5, 3, 2523.000000
5, 3, 2590.000000
5, 3, 2709.000000
5, 3, 3295.000000
5, 3, 3519.000000
5, 3, 3264.000000
5, 3, 3317.000000
5, 3, 3380.000000
5, 3, 2847.000000
5, 3, 2950.000000
5, 3, 3516.000000
5, 3, 2822.000000
5, 3, 3042.000000
5, 3, 2508.000000
5, 3, 2560.000000
5, 3, 2553.000000
5, 3, 2524.000000
5, 3, 2545.000000
5, 4, 5697.000000
5, 4, 4144.000000
5, 4, 3787.000000
5, 4, 3798.000000
5, 4, 4471.000000
5, 4, 3629.000000
5, 4, 3366.000000
5, 4, 3263.000000
5, 4, 3686.000000
5, 4, 3588.000000
5, 4, 2701.000000
5, 4, 2836.000000
5, 4, 2671.000000
5, 4, 3169.000000
5, 4, 2677.000000
5, 4, 2822.000000
5, 4, 2823.000000
5, 4, 2774.000000
5, 4, 2854.000000
5, 4, 2928.000000
5, 5, 3028.000000
5, 5, 2993.000000
5, 5, 3176.000000
5, 5, 3262.000000
5, 5, 2977.000000
5, 5, 5091.000000
5, 5, 4860.000000
5, 5, 5177.000000
5, 5, 4783.000000
5, 5, 5293.000000
5, 5, 3781.000000
5, 5, 4083.000000
5, 5, 3804.000000
5, 5, 3756.000000
5, 5, 3759.000000
5, 5, 3427.000000
5, 5, 3017.000000
5, 5, 3402.000000
5, 5, 3318.000000
5, 5, 3320.000000
5, 6, 4752.000000
5, 6, 4404.000000
5, 6, 4439.000000
5, 6, 4289.000000
5, 6, 4551.000000
5, 6, 4266.000000
5, 6, 4633.000000
5, 6, 4386.000000
5, 6, 4322.000000
5, 6, 4481.000000
5, 6, 4436.000000
5, 6, 4573.000000
5, 6, 4360.000000
5, 6, 4657.000000
5, 6, 4225.000000
5, 6, 5689.000000
5, 6, 5669.000000
5, 6, 5654.000000
5, 6, 5965.000000
5, 6, 5785.000000
5, 7, 4391.000000
5, 7, 4097.000000
5, 7, 4610.000000
5, 7, 4304.000000
5, 7, 4235.000000
5, 7, 5167.000000
5, 7, 5504.000000
5, 7, 5154.000000
5, 7, 5441.000000
5, 7, 5667.000000
5, 7, 4328.000000
5, 7, 4194.000000
5, 7, 4009.000000
5, 7, 4053.000000
5, 7, 4167.000000
5, 7, 5061.000000
5, 7, 4787.000000
5, 7, 5076.000000
5, 7, 4623.000000
5, 7, 5193.000000
5, 8, 5251.000000
5, 8, 5048.000000
5, 8, 5239.000000
5, 8, 4722.000000
5, 8, 5187.000000
5, 8, 4381.000000
5, 8, 3978.000000
5, 8, 3914.000000
5, 8, 4134.000000
5, 8, 3815.000000
5, 8, 3249.000000
5, 8, 3415.000000
5, 8, 3296.000000
5, 8, 3341.000000
5, 8, 3163.000000
5, 8, 4848.000000
5, 8, 4709.000000
5, 8, 4798.000000
5, 8, 4731.000000
5, 8, 4940.000000
5, 9, 4888.000000
5, 9, 4766.000000
5, 9, 4931.000000
5, 9, 4908.000000
5, 9, 4849.000000
5, 9, 7433.000000
5, 9, 7398.000000
5, 9, 7540.000000
5, 9, 7415.000000
5, 9, 7395.000000
5, 9, 4218.000000
5, 9, 3882.000000
5, 9, 3909.000000
5, 9, 3842.000000
5, 9, 4036.000000
5, 9, 4155.000000
5, 9, 4276.000000
5, 9, 3985.000000
5, 9, 4307.000000
5, 9, 4181.000000
5, 10, 4713.000000
5, 10, 4403.000000
5, 10, 4416.000000
5, 10, 4299.000000
5, 10, 5256.000000
5, 10, 4157.000000
5, 10, 4108.000000
5, 10, 4056.000000
5, 10, 4055.000000
5, 10, 4192.000000
5, 10, 5592.000000
5, 10, 5479.000000
5, 10, 5429.000000
5, 10, 5387.000000
5, 10, 5745.000000
5, 10, 5334.000000
5, 10, 5733.000000
5, 10, 5532.000000
5, 10, 5189.000000
5, 10, 5483.000000
5, 11, 5587.000000
5, 11, 5364.000000
5, 11, 5392.000000
5, 11, 5396.000000
5, 11, 5560.000000
5, 11, 5158.000000
5, 11, 4901.000000
5, 11, 4895.000000
5, 11, 5296.000000
5, 11, 4756.000000
5, 11, 5511.000000
5, 11, 5483.000000
5, 11, 5277.000000
5, 11, 6141.000000
5, 11, 5478.000000
5, 11, 4360.000000
5, 11, 4313.000000
5, 11, 4767.000000
5, 11, 4429.000000
5, 11, 4282.000000
5, 12, 4907.000000
5, 12, 4678.000000
5, 12, 4631.000000
5, 12, 4607.000000
5, 12, 4535.000000
5, 12, 5249.000000
5, 12, 5486.000000
5, 12, 5551.000000
5, 12, 5242.000000
5, 12, 5334.000000
5, 12, 6743.000000
5, 12, 6480.000000
5, 12, 6508.000000
5, 12, 6617.000000
5, 12, 6389.000000
5, 12, 5495.000000
5, 12, 6034.000000
5, 12, 5648.000000
5, 12, 5507.000000
5, 12, 5329.000000
5, 13, 5169.000000
5, 13, 5064.000000
5, 13, 5190.000000
5, 13, 6266.000000
5, 13, 5318.000000
5, 13, 4410.000000
5, 13, 4643.000000
5, 13, 5284.000000
5, 13, 4667.000000
5, 13, 4910.000000
5, 13, 5277.000000
5, 13, 5415.000000
5, 13, 5402.000000
5, 13, 5793.000000
5, 13, 5129.000000
5, 13, 5282.000000
5, 13, 4582.000000
5, 13, 5042.000000
5, 13, 4518.000000
5, 13, 4695.000000
5, 14, 4937.000000
5, 14, 5055.000000
5, 14, 4971.000000
5, 14, 4633.000000
5, 14, 5074.000000
5, 14, 3947.000000
5, 14, 3712.000000
5, 14, 3602.000000
5, 14, 3807.000000
5, 14, 3699.000000
5, 14, 5048.000000
5, 14, 4548.000000
5, 14, 4844.000000
5, 14, 4685.000000
5, 14, 4856.000000
5, 14, 4624.000000
5, 14, 4761.000000
5, 14, 4847.000000
5, 14, 4815.000000
5, 14, 4731.000000
5, 15, 5433.000000
5, 15, 5291.000000
5, 15, 5121.000000
5, 15, 5464.000000
5, 15, 5423.000000
5, 15, 4479.000000
5, 15, 4681.000000
5, 15, 5053.000000
5, 15, 4744.000000
5, 15, 4548.000000
5, 15, 5298.000000
5, 15, 5175.000000
5, 15, 5148.000000
5, 15, 5023.000000
5, 15, 5587.000000
5, 15, 4958.000000
5, 15, 4785.000000
5, 15, 4820.000000
5, 15, 5060.000000
5, 15, 4753.000000
5, 16, 4506.000000
5, 16, 4575.000000
5, 16, 4458.000000
5, 16, 4549.000000
5, 16, 4543.000000
5, 16, 5594.000000
5, 16, 5214.000000
5, 16, 4991.000000
5, 16, 5151.000000
5, 16, 5198.000000
5, 16, 4253.000000
5, 16, 3544.000000
5, 16, 3942.000000
5, 16, 4201.000000
5, 16, 3942.000000
5, 16, 5173.000000
5, 16, 5310.000000
5, 16, 5398.000000
5, 16, 5456.000000
5, 16, 5656.000000
5, 17, 3011.000000
5, 17, 2867.000000
5, 17, 2872.000000
5, 17, 2718.000000
5, 17, 3187.000000
5, 17, 5763.000000
5, 17, 5508.000000
5, 17, 5451.000000
5, 17, 5674.000000
5, 17, 5427.000000
5, 17, 5778.000000
5, 17, 5725.000000
5, 17, 5708.000000
5, 17, 5772.000000
5, 17, 5638.000000
5, 17, 4461.000000
5, 17, 5246.000000
5, 17, 4452.000000
5, 17, 4300.000000
5, 17, 4283.000000
5, 18, 4997.000000
5, 18, 5206.000000
5, 18, 5358.000000
5, 18, 5234.000000
5, 18, 5305.000000
