Cantidad de paradas, Capacidad de mochila, Tiempo
2, 5, 486.000000
2, 5, 500.000000
2, 5, 502.000000
2, 5, 843.000000
3, 5, 914.000000
3, 5, 1292.000000
3, 5, 832.000000
3, 5, 2004.000000
4, 5, 1520.000000
4, 5, 1942.000000
4, 5, 1615.000000
4, 5, 1393.000000
5, 5, 3529.000000
5, 5, 2552.000000
5, 5, 3544.000000
5, 5, 3040.000000
6, 5, 4328.000000
6, 5, 4796.000000
6, 5, 3813.000000
6, 5, 4382.000000
7, 5, 8078.000000
7, 5, 6969.000000
7, 5, 10089.000000
7, 5, 7095.000000
8, 5, 9080.000000
8, 5, 9005.000000
8, 5, 10663.000000
8, 5, 10623.000000
9, 5, 14899.000000
9, 5, 17058.000000
9, 5, 17390.000000
9, 5, 12626.000000
10, 5, 23510.000000
10, 5, 24340.000000
10, 5, 22993.000000
10, 5, 22152.000000
11, 5, 15269.000000
11, 5, 24331.000000
11, 5, 13166.000000
11, 5, 18951.000000
12, 5, 41207.000000
12, 5, 41094.000000
12, 5, 25121.000000
12, 5, 21207.000000
13, 5, 31273.000000
13, 5, 32213.000000
13, 5, 18116.000000
13, 5, 58168.000000
14, 5, 23233.000000
14, 5, 36997.000000
14, 5, 29442.000000
14, 5, 26876.000000
15, 5, 48145.000000
15, 5, 40136.000000
15, 5, 62117.000000
15, 5, 35775.000000
16, 5, 59770.000000
16, 5, 66818.000000
16, 5, 46562.000000
16, 5, 29151.000000
17, 5, 32893.000000
17, 5, 37323.000000
17, 5, 31335.000000
17, 5, 33114.000000
18, 5, 71989.000000
18, 5, 90409.000000
18, 5, 76621.000000
18, 5, 56270.000000
19, 5, 50907.000000
19, 5, 112341.000000
19, 5, 122953.000000
19, 5, 55483.000000
20, 5, 44457.000000
20, 5, 64918.000000
20, 5, 64614.000000
20, 5, 80333.000000
21, 5, 63949.000000
21, 5, 53466.000000
21, 5, 81244.000000
21, 5, 83834.000000
22, 5, 101023.000000
22, 5, 99154.000000
22, 5, 91431.000000
22, 5, 67216.000000
23, 5, 136497.000000
23, 5, 71401.000000
23, 5, 72559.000000
23, 5, 83593.000000
24, 5, 119271.000000
24, 5, 56583.000000
24, 5, 76334.000000
24, 5, 106479.000000
25, 5, 123383.000000
25, 5, 139796.000000
25, 5, 98825.000000
25, 5, 93601.000000
26, 5, 104381.000000
26, 5, 149185.000000
26, 5, 83185.000000
