Codigo de caso,Cantidad de gimnasios,Cantidad de paradas,Capacidad de la mochila,Tiempo,Distancia del camino,Ejercicio
1, 1, 1, 1, 21, 2.23607, 1
1, 1, 1, 1, 19, 2.23607, 1
1, 1, 1, 1, 17, 2.23607, 1
1, 1, 1, 1, 19, 2.23607, 1
1, 1, 1, 1, 18, 2.23607, 1
1, 1, 1, 1, 1, 2.23607, 2
1, 1, 1, 1, 2, 2.23607, 2
1, 1, 1, 1, 3, 2.23607, 2
1, 1, 1, 1, 1, 2.23607, 2
1, 1, 1, 1, 2, 2.23607, 2
1, 1, 1, 1, 12, 2.23607, 3
1, 1, 1, 1, 10, 2.23607, 3
1, 1, 1, 1, 10, 2.23607, 3
1, 1, 1, 1, 14, 2.23607, 3
1, 1, 1, 1, 16, 2.23607, 3
1, 1, 1, 1, 26, 2.23607, 4
1, 1, 1, 1, 32, 2.23607, 4
1, 1, 1, 1, 22, 2.23607, 4
1, 1, 1, 1, 26, 2.23607, 4
1, 1, 1, 1, 23, 2.23607, 4
1, 1, 1, 1, 26, 2.23607, 1
1, 1, 1, 1, 24, 2.23607, 1
1, 1, 1, 1, 17, 2.23607, 1
1, 1, 1, 1, 20, 2.23607, 1
1, 1, 1, 1, 20, 2.23607, 1
1, 1, 1, 1, 2, 2.23607, 2
1, 1, 1, 1, 1, 2.23607, 2
1, 1, 1, 1, 2, 2.23607, 2
1, 1, 1, 1, 3, 2.23607, 2
1, 1, 1, 1, 3, 2.23607, 2
1, 1, 1, 1, 23, 2.23607, 3
1, 1, 1, 1, 11, 2.23607, 3
1, 1, 1, 1, 12, 2.23607, 3
1, 1, 1, 1, 9, 2.23607, 3
1, 1, 1, 1, 11, 2.23607, 3
1, 1, 1, 1, 37, 2.23607, 4
1, 1, 1, 1, 33, 2.23607, 4
1, 1, 1, 1, 36, 2.23607, 4
1, 1, 1, 1, 24, 2.23607, 4
1, 1, 1, 1, 23, 2.23607, 4
1, 1, 1, 1, 20, 1, 1
1, 1, 1, 1, 18, 1, 1
1, 1, 1, 1, 18, 1, 1
1, 1, 1, 1, 19, 1, 1
1, 1, 1, 1, 18, 1, 1
1, 1, 1, 1, 2, 1, 2
1, 1, 1, 1, 2, 1, 2
1, 1, 1, 1, 2, 1, 2
1, 1, 1, 1, 2, 1, 2
1, 1, 1, 1, 2, 1, 2
1, 1, 1, 1, 11, 1, 3
1, 1, 1, 1, 11, 1, 3
1, 1, 1, 1, 10, 1, 3
1, 1, 1, 1, 23, 1, 3
1, 1, 1, 1, 10, 1, 3
1, 1, 1, 1, 45, 1, 4
1, 1, 1, 1, 22, 1, 4
1, 1, 1, 1, 21, 1, 4
1, 1, 1, 1, 23, 1, 4
1, 1, 1, 1, 20, 1, 4
1, 1, 1, 1, 20, 2, 1
1, 1, 1, 1, 18, 2, 1
1, 1, 1, 1, 31, 2, 1
1, 1, 1, 1, 23, 2, 1
1, 1, 1, 1, 34, 2, 1
1, 1, 1, 1, 2, 2, 2
1, 1, 1, 1, 2, 2, 2
1, 1, 1, 1, 2, 2, 2
1, 1, 1, 1, 3, 2, 2
1, 1, 1, 1, 2, 2, 2
1, 1, 1, 1, 18, 2, 3
1, 1, 1, 1, 16, 2, 3
1, 1, 1, 1, 10, 2, 3
1, 1, 1, 1, 9, 2, 3
1, 1, 1, 1, 9, 2, 3
1, 1, 1, 1, 22, 2, 4
1, 1, 1, 1, 21, 2, 4
1, 1, 1, 1, 23, 2, 4
1, 1, 1, 1, 31, 2, 4
1, 1, 1, 1, 24, 2, 4
1, 1, 1, 1, 30, 1.41421, 1
1, 1, 1, 1, 36, 1.41421, 1
1, 1, 1, 1, 35, 1.41421, 1
1, 1, 1, 1, 30, 1.41421, 1
1, 1, 1, 1, 26, 1.41421, 1
1, 1, 1, 1, 2, 1.41421, 2
1, 1, 1, 1, 2, 1.41421, 2
1, 1, 1, 1, 2, 1.41421, 2
1, 1, 1, 1, 2, 1.41421, 2
1, 1, 1, 1, 2, 1.41421, 2
1, 1, 1, 1, 13, 1.41421, 3
1, 1, 1, 1, 11, 1.41421, 3
1, 1, 1, 1, 9, 1.41421, 3
1, 1, 1, 1, 9, 1.41421, 3
1, 1, 1, 1, 12, 1.41421, 3
1, 1, 1, 1, 40, 1.41421, 4
1, 1, 1, 1, 32, 1.41421, 4
1, 1, 1, 1, 28, 1.41421, 4
1, 1, 1, 1, 28, 1.41421, 4
1, 1, 1, 1, 26, 1.41421, 4
1, 1, 1, 1, 33, 1, 1
1, 1, 1, 1, 30, 1, 1
1, 1, 1, 1, 37, 1, 1
1, 1, 1, 1, 33, 1, 1
1, 1, 1, 1, 37, 1, 1
1, 1, 1, 1, 3, 1, 2
1, 1, 1, 1, 3, 1, 2
1, 1, 1, 1, 3, 1, 2
1, 1, 1, 1, 2, 1, 2
1, 1, 1, 1, 2, 1, 2
1, 1, 1, 1, 19, 1, 3
1, 1, 1, 1, 11, 1, 3
1, 1, 1, 1, 18, 1, 3
1, 1, 1, 1, 12, 1, 3
1, 1, 1, 1, 12, 1, 3
1, 1, 1, 1, 33, 1, 4
1, 1, 1, 1, 38, 1, 4
1, 1, 1, 1, 32, 1, 4
1, 1, 1, 1, 51, 1, 4
1, 1, 1, 1, 62, 1, 4
1, 1, 1, 1, 38, 2.23607, 1
1, 1, 1, 1, 29, 2.23607, 1
1, 1, 1, 1, 29, 2.23607, 1
1, 1, 1, 1, 32, 2.23607, 1
1, 1, 1, 1, 24, 2.23607, 1
1, 1, 1, 1, 2, 2.23607, 2
1, 1, 1, 1, 1, 2.23607, 2
1, 1, 1, 1, 2, 2.23607, 2
1, 1, 1, 1, 1, 2.23607, 2
1, 1, 1, 1, 3, 2.23607, 2
1, 1, 1, 1, 14, 2.23607, 3
1, 1, 1, 1, 13, 2.23607, 3
1, 1, 1, 1, 11, 2.23607, 3
1, 1, 1, 1, 12, 2.23607, 3
1, 1, 1, 1, 12, 2.23607, 3
1, 1, 1, 1, 23, 2.23607, 4
1, 1, 1, 1, 33, 2.23607, 4
1, 1, 1, 1, 25, 2.23607, 4
1, 1, 1, 1, 59, 2.23607, 4
1, 1, 1, 1, 46, 2.23607, 4
1, 1, 1, 1, 28, 1.41421, 1
1, 1, 1, 1, 25, 1.41421, 1
1, 1, 1, 1, 25, 1.41421, 1
1, 1, 1, 1, 27, 1.41421, 1
1, 1, 1, 1, 29, 1.41421, 1
1, 1, 1, 1, 3, 1.41421, 2
1, 1, 1, 1, 3, 1.41421, 2
1, 1, 1, 1, 3, 1.41421, 2
1, 1, 1, 1, 3, 1.41421, 2
1, 1, 1, 1, 4, 1.41421, 2
1, 1, 1, 1, 22, 1.41421, 3
1, 1, 1, 1, 17, 1.41421, 3
1, 1, 1, 1, 16, 1.41421, 3
1, 1, 1, 1, 11, 1.41421, 3
