Codigo de caso,Cantidad de gimnasios,Cantidad de paradas,Capacidad de la mochila,Tiempo,Distancia del camino,Ejercicio
1, 1, 1, 10, 4.000000, 1.000000, 3
1, 1, 1, 10, 4.000000, 1.000000, 3
1, 1, 1, 10, 4.000000, 1.000000, 3
1, 1, 1, 10, 5.000000, 1.000000, 3
1, 1, 1, 10, 4.000000, 1.000000, 3
1, 1, 1, 10, 4.000000, 1.000000, 3
1, 1, 1, 10, 6.000000, 1.000000, 3
1, 1, 1, 10, 10.000000, 1.000000, 3
1, 1, 1, 10, 8.000000, 1.000000, 3
1, 1, 1, 10, 8.000000, 1.000000, 3
2, 1, 1, 10, 7.000000, 1.414214, 3
2, 1, 1, 10, 6.000000, 1.414214, 3
2, 1, 1, 10, 7.000000, 1.414214, 3
2, 1, 1, 10, 8.000000, 1.414214, 3
2, 1, 1, 10, 7.000000, 1.414214, 3
2, 1, 1, 10, 7.000000, 1.414214, 3
2, 1, 1, 10, 7.000000, 1.414214, 3
2, 1, 1, 10, 6.000000, 1.414214, 3
2, 1, 1, 10, 7.000000, 1.414214, 3
2, 1, 1, 10, 6.000000, 1.414214, 3
3, 1, 1, 10, 7.000000, 1.000000, 3
3, 1, 1, 10, 6.000000, 1.000000, 3
3, 1, 1, 10, 7.000000, 1.000000, 3
3, 1, 1, 10, 6.000000, 1.000000, 3
3, 1, 1, 10, 8.000000, 1.000000, 3
3, 1, 1, 10, 8.000000, 1.000000, 3
3, 1, 1, 10, 6.000000, 1.000000, 3
3, 1, 1, 10, 5.000000, 1.000000, 3
3, 1, 1, 10, 5.000000, 1.000000, 3
3, 1, 1, 10, 5.000000, 1.000000, 3
4, 1, 1, 10, 4.000000, 0.000000, 3
4, 1, 1, 10, 5.000000, 0.000000, 3
4, 1, 1, 10, 4.000000, 0.000000, 3
4, 1, 1, 10, 3.000000, 0.000000, 3
4, 1, 1, 10, 3.000000, 0.000000, 3
4, 1, 1, 10, 3.000000, 0.000000, 3
4, 1, 1, 10, 2.000000, 0.000000, 3
4, 1, 1, 10, 3.000000, 0.000000, 3
4, 1, 1, 10, 4.000000, 0.000000, 3
4, 1, 1, 10, 4.000000, 0.000000, 3
5, 1, 2, 10, 11.000000, 2.414214, 3
5, 1, 2, 10, 6.000000, 2.414214, 3
5, 1, 2, 10, 8.000000, 2.414214, 3
5, 1, 2, 10, 7.000000, 2.414214, 3
5, 1, 2, 10, 6.000000, 2.414214, 3
5, 1, 2, 10, 6.000000, 2.414214, 3
5, 1, 2, 10, 5.000000, 2.414214, 3
5, 1, 2, 10, 7.000000, 2.414214, 3
5, 1, 2, 10, 7.000000, 2.414214, 3
5, 1, 2, 10, 10.000000, 2.414214, 3
6, 1, 2, 10, 6.000000, 1.000000, 3
6, 1, 2, 10, 4.000000, 1.000000, 3
6, 1, 2, 10, 5.000000, 1.000000, 3
6, 1, 2, 10, 7.000000, 1.000000, 3
6, 1, 2, 10, 7.000000, 1.000000, 3
6, 1, 2, 10, 7.000000, 1.000000, 3
6, 1, 2, 10, 9.000000, 1.000000, 3
6, 1, 2, 10, 6.000000, 1.000000, 3
6, 1, 2, 10, 5.000000, 1.000000, 3
6, 1, 2, 10, 7.000000, 1.000000, 3
7, 1, 2, 10, 9.000000, 4.472136, 3
7, 1, 2, 10, 8.000000, 4.472136, 3
7, 1, 2, 10, 7.000000, 4.472136, 3
7, 1, 2, 10, 10.000000, 4.472136, 3
7, 1, 2, 10, 8.000000, 4.472136, 3
7, 1, 2, 10, 8.000000, 4.472136, 3
7, 1, 2, 10, 8.000000, 4.472136, 3
7, 1, 2, 10, 10.000000, 4.472136, 3
7, 1, 2, 10, 7.000000, 4.472136, 3
7, 1, 2, 10, 6.000000, 4.472136, 3
8, 1, 2, 10, 3.000000, 0.000000, 3
8, 1, 2, 10, 2.000000, 0.000000, 3
8, 1, 2, 10, 4.000000, 0.000000, 3
8, 1, 2, 10, 4.000000, 0.000000, 3
8, 1, 2, 10, 5.000000, 0.000000, 3
8, 1, 2, 10, 5.000000, 0.000000, 3
8, 1, 2, 10, 4.000000, 0.000000, 3
8, 1, 2, 10, 4.000000, 0.000000, 3
8, 1, 2, 10, 3.000000, 0.000000, 3
8, 1, 2, 10, 4.000000, 0.000000, 3
9, 1, 3, 10, 7.000000, 7.404918, 3
9, 1, 3, 10, 9.000000, 7.404918, 3
9, 1, 3, 10, 7.000000, 7.404918, 3
9, 1, 3, 10, 5.000000, 7.404918, 3
9, 1, 3, 10, 5.000000, 7.404918, 3
9, 1, 3, 10, 7.000000, 7.404918, 3
9, 1, 3, 10, 6.000000, 7.404918, 3
9, 1, 3, 10, 9.000000, 7.404918, 3
9, 1, 3, 10, 9.000000, 7.404918, 3
9, 1, 3, 10, 8.000000, 7.404918, 3
10, 1, 3, 10, 9.000000, 9.433978, 3
10, 1, 3, 10, 8.000000, 9.433978, 3
10, 1, 3, 10, 7.000000, 9.433978, 3
10, 1, 3, 10, 8.000000, 9.433978, 3
10, 1, 3, 10, 6.000000, 9.433978, 3
10, 1, 3, 10, 5.000000, 9.433978, 3
10, 1, 3, 10, 5.000000, 9.433978, 3
10, 1, 3, 10, 5.000000, 9.433978, 3
10, 1, 3, 10, 5.000000, 9.433978, 3
10, 1, 3, 10, 5.000000, 9.433978, 3
11, 1, 3, 10, 10.000000, 10.246211, 3
11, 1, 3, 10, 9.000000, 10.246211, 3
